english_word,bangla_word,part_of_speech,image_url,original_file,cloudinary_public_id,file_id,word_id
"Back","পেছন/ফিরে","Noun/Adverb/Verb","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679244/words/0c7a2a5c-f44c-44d8-8e1c-ba30a17c22c5/1787679243515_words_0c7a2a5c-f44c-44d8-8e1c-ba30a17c22c5.png.png","Back.png","words/0c7a2a5c-f44c-44d8-8e1c-ba30a17c22c5/1787679243515_words_0c7a2a5c-f44c-44d8-8e1c-ba30a17c22c5.png",133,"0c7a2a5c-f44c-44d8-8e1c-ba30a17c22c5"
"Bag","ব্যাগ","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679244/words/2c663e32-3876-42d4-8652-f5a4543e77cf/1787679243644_words_2c663e32-3876-42d4-8652-f5a4543e77cf.jpg.jpg","Bag.jpg","words/2c663e32-3876-42d4-8652-f5a4543e77cf/1787679243644_words_2c663e32-3876-42d4-8652-f5a4543e77cf.jpg",134,"2c663e32-3876-42d4-8652-f5a4543e77cf"
"Ball","বল","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679244/words/8aa19bdd-b63f-4064-80a9-fe5ed302e213/1787679243945_words_8aa19bdd-b63f-4064-80a9-fe5ed302e213.jpg.jpg","Ball.jpg","words/8aa19bdd-b63f-4064-80a9-fe5ed302e213/1787679243945_words_8aa19bdd-b63f-4064-80a9-fe5ed302e213.jpg",135,"8aa19bdd-b63f-4064-80a9-fe5ed302e213"
"banana","কলা","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1782296422/words/1/1782296421172_words_1.jpg.jpg","download (1).jpg","words/1/1782296421172_words_1.jpg",17,"76ef1702-ea12-48c9-8ce3-79c43cf22558"
"Bed","বিছানা","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679244/words/966ba4bb-03ac-4881-8ecf-c2e7a269cbb8/1787679243999_words_966ba4bb-03ac-4881-8ecf-c2e7a269cbb8.jpg.jpg","Bed.jpg","words/966ba4bb-03ac-4881-8ecf-c2e7a269cbb8/1787679243999_words_966ba4bb-03ac-4881-8ecf-c2e7a269cbb8.jpg",136,"966ba4bb-03ac-4881-8ecf-c2e7a269cbb8"
"Before","আগে","Preposition/Adverb","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679245/words/a2614ac7-465e-4cf9-826a-c1a0302f4f19/1787679244541_words_a2614ac7-465e-4cf9-826a-c1a0302f4f19.jpg.jpg","Before.jpg","words/a2614ac7-465e-4cf9-826a-c1a0302f4f19/1787679244541_words_a2614ac7-465e-4cf9-826a-c1a0302f4f19.jpg",137,"a2614ac7-465e-4cf9-826a-c1a0302f4f19"
"Below","নিচে","Preposition/Adverb","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679245/words/f156b0a1-6d39-4fff-8faf-fd51fd4b326d/1787679245106_words_f156b0a1-6d39-4fff-8faf-fd51fd4b326d.png.png","Below.png","words/f156b0a1-6d39-4fff-8faf-fd51fd4b326d/1787679245106_words_f156b0a1-6d39-4fff-8faf-fd51fd4b326d.png",140,"f156b0a1-6d39-4fff-8faf-fd51fd4b326d"
"Between","মধ্যে","Preposition","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679246/words/d7cdb54c-5804-4869-8086-ab8727347440/1787679245161_words_d7cdb54c-5804-4869-8086-ab8727347440.png.png","Between.png","words/d7cdb54c-5804-4869-8086-ab8727347440/1787679245161_words_d7cdb54c-5804-4869-8086-ab8727347440.png",138,"d7cdb54c-5804-4869-8086-ab8727347440"
"Big","বড়","Adjective","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679246/words/d76798d9-7269-4fb4-8562-bfaffa03e652/1787679245276_words_d76798d9-7269-4fb4-8562-bfaffa03e652.png.png","Big.png","words/d76798d9-7269-4fb4-8562-bfaffa03e652/1787679245276_words_d76798d9-7269-4fb4-8562-bfaffa03e652.png",139,"d76798d9-7269-4fb4-8562-bfaffa03e652"
"Board","বোর্ড","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679246/words/efedc704-f5ae-4c64-9cab-ea3982d7a434/1787679245536_words_efedc704-f5ae-4c64-9cab-ea3982d7a434.jpg.jpg","Board.jpg","words/efedc704-f5ae-4c64-9cab-ea3982d7a434/1787679245536_words_efedc704-f5ae-4c64-9cab-ea3982d7a434.jpg",141,"efedc704-f5ae-4c64-9cab-ea3982d7a434"
"boat","নৌকা","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1782296478/words/1/1782296477601_words_1.jpg.jpg","StockCake-Sunset_Boat_Serenity-1181356-small.jpg","words/1/1782296477601_words_1.jpg",18,"0669468e-78e8-4a26-bc5c-ca140c78aed2"
"Book","বই","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679247/words/d61276ef-22c3-4ebe-961a-9c79f186382d/1787679246165_words_d61276ef-22c3-4ebe-961a-9c79f186382d.jpg.jpg","Book.jpg","words/d61276ef-22c3-4ebe-961a-9c79f186382d/1787679246165_words_d61276ef-22c3-4ebe-961a-9c79f186382d.jpg",142,"d61276ef-22c3-4ebe-961a-9c79f186382d"
"borrow","ধার করা","v","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679247/words/6839e088-4f84-48d7-a9d4-84d918ed42df/1787679246447_words_6839e088-4f84-48d7-a9d4-84d918ed42df.jpg.jpg","Borrow.jpg","words/6839e088-4f84-48d7-a9d4-84d918ed42df/1787679246447_words_6839e088-4f84-48d7-a9d4-84d918ed42df.jpg",144,"6839e088-4f84-48d7-a9d4-84d918ed42df"
"Breakfast","সকালের খাবার","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679247/words/69910170-dbdf-49e0-8674-480dfbf75999/1787679246505_words_69910170-dbdf-49e0-8674-480dfbf75999.jpg.jpg","Breakfast.jpg","words/69910170-dbdf-49e0-8674-480dfbf75999/1787679246505_words_69910170-dbdf-49e0-8674-480dfbf75999.jpg",143,"69910170-dbdf-49e0-8674-480dfbf75999"
"Brother","ভাই","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679247/words/f5e6fdc2-f008-43d6-9826-9582cf7f1979/1787679246805_words_f5e6fdc2-f008-43d6-9826-9582cf7f1979.png.png","Brother.png","words/f5e6fdc2-f008-43d6-9826-9582cf7f1979/1787679246805_words_f5e6fdc2-f008-43d6-9826-9582cf7f1979.png",146,"f5e6fdc2-f008-43d6-9826-9582cf7f1979"
"Brush","ব্রাশ","Noun/Verb","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679248/words/6d7ad279-3919-4c25-9b9a-c32f540fec08/1787679247183_words_6d7ad279-3919-4c25-9b9a-c32f540fec08.jpg.jpg","Brush.jpg","words/6d7ad279-3919-4c25-9b9a-c32f540fec08/1787679247183_words_6d7ad279-3919-4c25-9b9a-c32f540fec08.jpg",145,"6d7ad279-3919-4c25-9b9a-c32f540fec08"
"But","কিন্তু","Conjunction","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679248/words/ecfdfe40-4385-43fe-918f-c78c7f5ef2b0/1787679247515_words_ecfdfe40-4385-43fe-918f-c78c7f5ef2b0.png.png","But.png","words/ecfdfe40-4385-43fe-918f-c78c7f5ef2b0/1787679247515_words_ecfdfe40-4385-43fe-918f-c78c7f5ef2b0.png",147,"ecfdfe40-4385-43fe-918f-c78c7f5ef2b0"
"calendar","পঞ্জিকা/ক্যালেন্ডার","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1782296671/words/1/1782296670006_words_1.jpg.jpg","images.jpg","words/1/1782296670006_words_1.jpg",19,"4015935e-3cd4-42b4-a2a0-33a7db6734a0"
"Capital","বড় হাতের অক্ষর","Noun/Adjective","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679248/words/703c21d0-01a9-4b86-817d-bb7394fd1fda/1787679247687_words_703c21d0-01a9-4b86-817d-bb7394fd1fda.jpg.jpg","Capital.jpg","words/703c21d0-01a9-4b86-817d-bb7394fd1fda/1787679247687_words_703c21d0-01a9-4b86-817d-bb7394fd1fda.jpg",148,"703c21d0-01a9-4b86-817d-bb7394fd1fda"
"Car","গাড়ি","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679249/words/377d798c-ca05-433d-9dc5-b922b1a960f9/1787679248253_words_377d798c-ca05-433d-9dc5-b922b1a960f9.jpg.jpg","Car.jpg","words/377d798c-ca05-433d-9dc5-b922b1a960f9/1787679248253_words_377d798c-ca05-433d-9dc5-b922b1a960f9.jpg",150,"377d798c-ca05-433d-9dc5-b922b1a960f9"
"carefully","সাবধানে","adv","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679249/words/89d73d41-7c71-4b52-8bbd-ec81dc2e207d/1787679248313_words_89d73d41-7c71-4b52-8bbd-ec81dc2e207d.png.png","Carefully.png","words/89d73d41-7c71-4b52-8bbd-ec81dc2e207d/1787679248313_words_89d73d41-7c71-4b52-8bbd-ec81dc2e207d.png",149,"89d73d41-7c71-4b52-8bbd-ec81dc2e207d"
"Carrot","গাজর","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679249/words/37fc58ea-decd-42b9-a1d2-f91b8d83791f/1787679248704_words_37fc58ea-decd-42b9-a1d2-f91b8d83791f.jpg.jpg","Carrot.jpg","words/37fc58ea-decd-42b9-a1d2-f91b8d83791f/1787679248704_words_37fc58ea-decd-42b9-a1d2-f91b8d83791f.jpg",151,"37fc58ea-decd-42b9-a1d2-f91b8d83791f"
"Cat","বিড়াল","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679249/words/d7e83225-a372-43df-8ae2-0f2332e02e24/1787679248949_words_d7e83225-a372-43df-8ae2-0f2332e02e24.jpg.jpg","Cat.jpg","words/d7e83225-a372-43df-8ae2-0f2332e02e24/1787679248949_words_d7e83225-a372-43df-8ae2-0f2332e02e24.jpg",152,"d7e83225-a372-43df-8ae2-0f2332e02e24"
"Children","শিশুরা","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679250/words/cefdd1e4-0e7e-4ab1-ab51-16941404104b/1787679249342_words_cefdd1e4-0e7e-4ab1-ab51-16941404104b.jpg.jpg","Children.jpg","words/cefdd1e4-0e7e-4ab1-ab51-16941404104b/1787679249342_words_cefdd1e4-0e7e-4ab1-ab51-16941404104b.jpg",153,"cefdd1e4-0e7e-4ab1-ab51-16941404104b"
"circle","বৃত্ত; ঘিরে চলা","n/v","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679250/words/f0a04957-d051-4d6d-9f6c-ae2fc73ff5b8/1787679249576_words_f0a04957-d051-4d6d-9f6c-ae2fc73ff5b8.jpg.jpg","Circle.jpg","words/f0a04957-d051-4d6d-9f6c-ae2fc73ff5b8/1787679249576_words_f0a04957-d051-4d6d-9f6c-ae2fc73ff5b8.jpg",154,"f0a04957-d051-4d6d-9f6c-ae2fc73ff5b8"
"City","শহর","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679250/words/d04b57cd-ca1d-4927-99a4-74b555b1436a/1787679249772_words_d04b57cd-ca1d-4927-99a4-74b555b1436a.jpg.jpg","City.jpg","words/d04b57cd-ca1d-4927-99a4-74b555b1436a/1787679249772_words_d04b57cd-ca1d-4927-99a4-74b555b1436a.jpg",155,"d04b57cd-ca1d-4927-99a4-74b555b1436a"
"Class","শ্রেণি / ক্লাস","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679251/words/749c523e-e58c-4883-a35b-66c610b0000d/1787679250303_words_749c523e-e58c-4883-a35b-66c610b0000d.jpg.jpg","Class.jpg","words/749c523e-e58c-4883-a35b-66c610b0000d/1787679250303_words_749c523e-e58c-4883-a35b-66c610b0000d.jpg",156,"749c523e-e58c-4883-a35b-66c610b0000d"
"clean","পরিষ্কার; পরিষ্কার করা","adj/v","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679251/words/eb3ed609-d17f-4c1f-a8dd-be02de683a65/1787679250472_words_eb3ed609-d17f-4c1f-a8dd-be02de683a65.jpg.jpg","Clean.jpg","words/eb3ed609-d17f-4c1f-a8dd-be02de683a65/1787679250472_words_eb3ed609-d17f-4c1f-a8dd-be02de683a65.jpg",157,"eb3ed609-d17f-4c1f-a8dd-be02de683a65"
"Close","বন্ধ করা","Verb/Adjective","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679251/words/a6ffc2ad-0b86-4b0e-8d06-8bd4303dae66/1787679250678_words_a6ffc2ad-0b86-4b0e-8d06-8bd4303dae66.jpg.jpg","Close.jpg","words/a6ffc2ad-0b86-4b0e-8d06-8bd4303dae66/1787679250678_words_a6ffc2ad-0b86-4b0e-8d06-8bd4303dae66.jpg",158,"a6ffc2ad-0b86-4b0e-8d06-8bd4303dae66"
"Coerce","জোরপূর্বক বাধ্য করা","Verb","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1785592902/words/1/1785592900863_words_1.jpg.jpg","images.jpg","words/1/1785592900863_words_1.jpg",29,"87e773e5-8a35-4b5f-bbe3-82269e8f2007"
"Colour","রং","Noun/Verb","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679251/words/30f3442a-db72-4033-bf0e-12cd377b2d22/1787679250845_words_30f3442a-db72-4033-bf0e-12cd377b2d22.png.png","Colour.png","words/30f3442a-db72-4033-bf0e-12cd377b2d22/1787679250845_words_30f3442a-db72-4033-bf0e-12cd377b2d22.png",159,"30f3442a-db72-4033-bf0e-12cd377b2d22"
"Come","আসা","Verb","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679252/words/e8486f4b-a484-40ba-b6a8-608a47c8f08c/1787679251540_words_e8486f4b-a484-40ba-b6a8-608a47c8f08c.png.png","Come.png","words/e8486f4b-a484-40ba-b6a8-608a47c8f08c/1787679251540_words_e8486f4b-a484-40ba-b6a8-608a47c8f08c.png",160,"e8486f4b-a484-40ba-b6a8-608a47c8f08c"
"command","আদেশ","n/v","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679252/words/0ce9a8fc-a9b2-4bc6-95d4-eee742273d16/1787679251823_words_0ce9a8fc-a9b2-4bc6-95d4-eee742273d16.png.png","Command.png","words/0ce9a8fc-a9b2-4bc6-95d4-eee742273d16/1787679251823_words_0ce9a8fc-a9b2-4bc6-95d4-eee742273d16.png",161,"0ce9a8fc-a9b2-4bc6-95d4-eee742273d16"
"Conversation","আলাপ; কথোপকথন","noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679253/words/f45d6f68-ebe8-4f16-bded-55f9b39e87af/1787679252093_words_f45d6f68-ebe8-4f16-bded-55f9b39e87af.png.png","Conversation.png","words/f45d6f68-ebe8-4f16-bded-55f9b39e87af/1787679252093_words_f45d6f68-ebe8-4f16-bded-55f9b39e87af.png",162,"f45d6f68-ebe8-4f16-bded-55f9b39e87af"
"Correct","সঠিক","Adjective/Verb","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679253/words/e1ea5bb9-7780-4d2a-8189-b64436dc6ec5/1787679252664_words_e1ea5bb9-7780-4d2a-8189-b64436dc6ec5.jpg.jpg","Correct.jpg","words/e1ea5bb9-7780-4d2a-8189-b64436dc6ec5/1787679252664_words_e1ea5bb9-7780-4d2a-8189-b64436dc6ec5.jpg",163,"e1ea5bb9-7780-4d2a-8189-b64436dc6ec5"
"Count","গণনা করা","Verb","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679254/words/d9bfa5af-ffcb-4797-9f78-fb8a005716a6/1787679252722_words_d9bfa5af-ffcb-4797-9f78-fb8a005716a6.png.png","Count.png","words/d9bfa5af-ffcb-4797-9f78-fb8a005716a6/1787679252722_words_d9bfa5af-ffcb-4797-9f78-fb8a005716a6.png",167,"d9bfa5af-ffcb-4797-9f78-fb8a005716a6"
"Cover","ঢেকে রাখা","Verb","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787160536/words/1/1787160536045_words_1.jpg.jpg","images.jpg","words/1/1787160536045_words_1.jpg",33,"04020f4d-70ee-4921-a22a-41e1a70b4cdf"
"Cover","ঢেকে রাখা","Verb","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787160536/words/1/1787160536045_words_1.jpg.jpg","images.jpg","words/1/1787160536045_words_1.jpg",33,"04020f4d-70ee-4921-a22a-41e1a70b4cdf"
"Cow","গরু","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679254/words/447e9786-379c-46ba-a7ef-00aa3422f524/1787679253239_words_447e9786-379c-46ba-a7ef-00aa3422f524.jpg.jpg","Cow.jpg","words/447e9786-379c-46ba-a7ef-00aa3422f524/1787679253239_words_447e9786-379c-46ba-a7ef-00aa3422f524.jpg",164,"447e9786-379c-46ba-a7ef-00aa3422f524"
"crow","কাক","n.","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679254/words/fb71dbf5-f025-459d-9c07-b812fd5106fc/1787679253317_words_fb71dbf5-f025-459d-9c07-b812fd5106fc.jpeg.jpg","Crow.jpeg","words/fb71dbf5-f025-459d-9c07-b812fd5106fc/1787679253317_words_fb71dbf5-f025-459d-9c07-b812fd5106fc.jpeg",165,"fb71dbf5-f025-459d-9c07-b812fd5106fc"
"dancing","নাচ","n./v.","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679254/words/6e24b31a-d85b-4661-afa1-8e3fab06a035/1787679253781_words_6e24b31a-d85b-4661-afa1-8e3fab06a035.jpg.jpg","Dancing.jpg","words/6e24b31a-d85b-4661-afa1-8e3fab06a035/1787679253781_words_6e24b31a-d85b-4661-afa1-8e3fab06a035.jpg",166,"6e24b31a-d85b-4661-afa1-8e3fab06a035"
"Day","দিন","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679255/words/8c652c9e-72ff-4e7c-8090-ce5ab6f57ff5/1787679254262_words_8c652c9e-72ff-4e7c-8090-ce5ab6f57ff5.jpg.jpg","Day.jpg","words/8c652c9e-72ff-4e7c-8090-ce5ab6f57ff5/1787679254262_words_8c652c9e-72ff-4e7c-8090-ce5ab6f57ff5.jpg",168,"8c652c9e-72ff-4e7c-8090-ce5ab6f57ff5"
"deer","হরিণ","n.","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679255/words/82eda707-6b42-49b9-8445-b1f2d7c09524/1787679254481_words_82eda707-6b42-49b9-8445-b1f2d7c09524.jpg.jpg","Deer.jpg","words/82eda707-6b42-49b9-8445-b1f2d7c09524/1787679254481_words_82eda707-6b42-49b9-8445-b1f2d7c09524.jpg",169,"82eda707-6b42-49b9-8445-b1f2d7c09524"
"Dialogue","সংলাপ","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679255/words/820092c2-0af6-4015-a7da-314bfca7578f/1787679254770_words_820092c2-0af6-4015-a7da-314bfca7578f.png.png","Dialogue.png","words/820092c2-0af6-4015-a7da-314bfca7578f/1787679254770_words_820092c2-0af6-4015-a7da-314bfca7578f.png",170,"820092c2-0af6-4015-a7da-314bfca7578f"
"Different","ভিন্ন / আলাদা","Adjective","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679255/words/f0c44bbc-10b2-48bd-9b25-a4cbda627746/1787679254960_words_f0c44bbc-10b2-48bd-9b25-a4cbda627746.jpg.jpg","Different.jpg","words/f0c44bbc-10b2-48bd-9b25-a4cbda627746/1787679254960_words_f0c44bbc-10b2-48bd-9b25-a4cbda627746.jpg",171,"f0c44bbc-10b2-48bd-9b25-a4cbda627746"
"dinner","রাতের খাবার","n.","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679256/words/2f0d521c-ce28-49a0-b56c-d9d5541f6d0f/1787679255292_words_2f0d521c-ce28-49a0-b56c-d9d5541f6d0f.jpg.jpg","Dinner.jpg","words/2f0d521c-ce28-49a0-b56c-d9d5541f6d0f/1787679255292_words_2f0d521c-ce28-49a0-b56c-d9d5541f6d0f.jpg",172,"2f0d521c-ce28-49a0-b56c-d9d5541f6d0f"
"Dish","থালা","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679256/words/332f6709-1167-44d9-8234-87939a788a01/1787679255870_words_332f6709-1167-44d9-8234-87939a788a01.png.png","Dish.png","words/332f6709-1167-44d9-8234-87939a788a01/1787679255870_words_332f6709-1167-44d9-8234-87939a788a01.png",173,"332f6709-1167-44d9-8234-87939a788a01"
"Dog","কুকুর","Noun","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679256/words/c8bda4d8-5cff-4fd5-8615-ec488ba6d1a0/1787679255979_words_c8bda4d8-5cff-4fd5-8615-ec488ba6d1a0.jpg.jpg","Dog.jpg","words/c8bda4d8-5cff-4fd5-8615-ec488ba6d1a0/1787679255979_words_c8bda4d8-5cff-4fd5-8615-ec488ba6d1a0.jpg",174,"c8bda4d8-5cff-4fd5-8615-ec488ba6d1a0"
"door","দরজা","n.","https://res.cloudinary.com/ds8p3rvyx/image/upload/v1787679256/words/e632cd11-c485-4e8a-b595-687264191ab9/1787679256087_words_e632cd11-c485-4e8a-b595-687264191ab9.jpg.jpg","Door.jpg","words/e632cd11-c485-4e8a-b595-687264191ab9/1787679256087_words_e632cd11-c485-4e8a-b595-687264191ab9.jpg",175,"e632cd11-c485-4e8a-b595-687264191ab9"
